场次,镜号,镜头类型/景别,画面内容,人物调度,摄影机角度,摄影机运动,声音/对白,剪辑/转场,镜头目的
1,1,远景,"市立图书馆阅览室全景。阳光透过高窗洒下，光束中灰尘浮动。书架如迷宫般排列。",无人物,俯拍,缓慢下摇,环境声：纸张翻动声、远处脚步声,淡入,建立空间氛围
1,2,中景,"林晓（26岁）在靠窗角落低头整理还书。她动作轻柔精确。穿着米色开衫，头发随意扎起。",林晓站立，手拿书,平视,固定,动作声：书页摩擦声,切至,展示人物状态
1,3,近景,"林晓的手指小心地抚过书脊，像在照顾易碎品。",林晓继续动作,微俯,缓慢推进,无对白，环境声减弱,切至,强调人物性格：谨慎、专注
1,4,中景,"小梅（28岁，圆脸，爱笑）推着书车过来。她压低声音说话。",小梅从左侧入画，走向林晓,平视,横移跟拍小梅,小梅（压低声音）：你听说了吗？技术部新来的那个男生，昨天在食堂一直看你。,切至,引入对话对手
1,5,中景,"林晓没有抬头，微微摇头，继续分类书籍。",林晓低头工作，小梅停在旁边,平视,固定,小梅：你倒是给点反应啊！我都替你着急。（凑近）你就不能多跟人说句话？,切至,展示林晓回避社交
1,6,近景,"林晓的手指停在了一本书的封面上——《沉默的代价》。她看了看，把它放进“待修补”的箱子。",林晓动作,平视,固定,林晓（轻声）：说什么呢。,切至,引入关键道具
1,7,近景,"小梅叹气，正要说话。林晓的手机在桌上震动。屏幕显示：姐姐❤️。",林晓视线转向手机，小梅看向手机,平视,固定,手机震动声,切至,制造打断
1,8,近景,"林晓接起电话，声音柔和了一些。",林晓将手机贴近耳朵,平视,固定,林晓：姐。,切至,展示人物关系变化
1,9,过肩镜头,"林悦（电话那头，兴奋）：晓晓！你猜我刚试了什么？婚纱！我跟你说，裙摆上有手工缝的珍珠，走起路来沙沙响，像在云上走路一样！",林晓听电话，小梅在背景,平视,固定,林悦（画外）：晓晓！你猜我刚试了什么？婚纱！我跟你说，裙摆上有手工缝的珍珠，走起路来沙沙响，像在云上走路一样！,切至,传递信息
1,10,近景,"林晓微笑，但笑容有些勉强。",林晓表情,平视,固定,林晓（微笑）：听起来很美。,切至,展示林晓表面配合
1,11,中景,"林悦（电话那头，兴奋）：不是听起来，是真的美！你一定要来看！婚礼那天你要站在我旁边，我指定你当伴娘，谁都不能抢。",林晓听电话,平视,固定,林悦（画外）：不是听起来，是真的美！你一定要来看！婚礼那天你要站在我旁边，我指定你当伴娘，谁都不能抢。,切至,传递信息
1,12,近景,"林晓：好。",林晓表情平静,平视,固定,林晓：好。,切至,展示林晓简短回应
